hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
0.0003,18.4977,space,18.4779,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,18.4982,23.6258,space,5.1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,23.6324,24.1254,24.1264,26.0587,j,1.8982,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,26.0598,26.5585,26.5595,27.2251,f,0.6326,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,27.226,27.724,27.7246,28.6917,f,0.9186,,0,2,2,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,28.6924,29.191,29.1917,30.1413,j,0.9095,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,30.1416,33.3254,space,3.1634,,,,,,,,,,,,,,,,
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,33.3335,33.824,,,,,,,,,,,,0,f,w52.png,,,,,,33.8247,35.3253,j,0,1.4498,,0,0,0,41,1,filler_假詞,,,頭舌
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,35.326,35.8246,,,,,,,,,,,,0,f,w80.png,,,,,,35.8251,36.1081,j,0,0.256,,0,1,1,69,1,filler_假詞,,,煮配
,,,,,801681,,,,2026-04-29_23h38.32.136,ldt,2025.1.1,MacIntel,59.88023952,,,,,,36.1086,36.6072,,,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,36.6077,42.1153,,0,,,0,2,2,39,1,filler_純台語詞,,,橫直
