hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0004,27.0548,space,27.0265,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,27.0552,33.4877,space,6.4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,33.4926,33.9883,33.989,36.6869,j,2.6385,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,36.6874,37.1881,37.1885,42.1872,,,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,42.188,42.6868,42.6872,46.1042,f,3.3699,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,46.1046,46.603,46.6033,48.5368,f,1.8726,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,,,,,,,,,,,,,,,,,48.5371,59.5039,space,10.9369,,,,,,,,,,,,,,,,,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,59.5089,60.004,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,60.005,61.2875,f,0,1.2349,,0,0,0,30,1,實驗材料,低,懸,支付,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,61.288,61.7873,,,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,61.7879,63.2873,j,1,1.4523,,0,1,1,18,1,實驗材料,懸,低,母語,,
,,,,,955851,female,39,0,2026-05-01_16h48.25.798,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhR-BleHRuA2FlbQIxMABicmlkETE4Y2FjMjhRa2tCUnl0bTdKc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHt3_Q1SXUD_5UdQJmkVSUVa7BSK6_6gUK9ywFlPLbD2I4TWyUGjyvo7Tpy9a_aem_jKv9X8fWN8u0Lqrw0cqOeQ,,,,,,63.2877,63.7875,,,,,,,,,,,su-iàu,1,j,w4.png,,,,,,63.7879,64.9371,j,1,1.1048,,0,2,2,3,1,實驗材料,懸,懸,需要,,
