hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0,4.44,space,4.422,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,4.44,6.273,space,1.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,6.277,6.773,6.774,8.24,j,1.426,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,8.241,8.74,8.741,11.773,f,3.004,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,11.773,12.273,12.274,13.123,j,0.817,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,13.123,13.623,13.624,15.773,f,2.115,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,15.773,18.14,space,2.346,,,,,,,,,,,,,,,,,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,18.146,18.64,,,,,,,,,,,,0,f,w53.png,,,,,,18.64,22.473,j,0,3.797,,0,0,0,42,1,filler_假詞,,,水空,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,22.474,22.973,,,,,,,,,,,,0,f,w71.png,,,,,,22.974,23.89,f,1,0.881,,0,1,1,60,1,filler_假詞,,,力巧,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,23.891,24.39,,,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,24.391,25.39,j,1,0.967,,0,2,2,11,1,實驗材料,低,低,拖吊,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,25.391,25.89,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,25.891,26.673,j,1,0.751,,0,3,3,30,1,實驗材料,低,懸,支付,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,26.674,27.173,,,,,,,,,,,,0,f,w62.png,,,,,,27.174,29.123,f,1,1.924,,0,4,4,51,1,filler_假詞,,,慌沉,,
,,,,,384491,女,26,C1,2026-05-02_19h46.41.689,ldt,2025.1.1,MacIntel,62.5,,,,,,29.124,29.623,,,,,,,,,,,,0,f,w51.png,,,,,,29.624,31.257,f,1,1.602,,0,5,5,40,1,filler_假詞,,,線瓜,,
