hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,217.8075,218.3066,,,,,,,,,,0,f,w72.png,,,,,,218.3082,219.958,f,1,1.5833,,0,51,51,61,1,filler_假詞,,,家覺,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,219.959,220.4584,,,,,,,,,,0,f,w79.png,,,,,,220.4595,221.7595,f,1,1.2728,,0,52,52,68,1,filler_假詞,,,熱條,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,221.7606,222.26,,,,,,,,,kî-bōng,1,j,w38.png,,,,,,222.2611,223.1146,j,1,0.8034,,0,53,53,31,1,實驗材料,低,懸,期望,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,223.1151,223.6117,,,,,,,,,,0,f,w51.png,,,,,,223.613,224.7958,f,1,1.1057,,0,54,54,40,1,filler_假詞,,,線瓜,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,224.797,225.2963,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,225.2974,226.464,j,1,1.1022,,0,55,55,15,1,實驗材料,低,低,控訴,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,226.4645,226.959,,,,,,,,,,0,f,w74.png,,,,,,226.9596,228.1459,f,1,1.15,,0,56,56,63,1,filler_假詞,,,動夜,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,228.1463,228.6453,,,,,,,,,su-iàu,1,j,w4.png,,,,,,228.6461,229.7866,j,1,1.0883,,0,57,57,3,1,實驗材料,懸,懸,需要,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,229.7872,230.2794,,,,,,,,,,0,f,w90.png,,,,,,230.2806,231.5516,f,1,1.2015,,0,58,58,79,1,filler_假詞,,,失務,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,231.5522,232.0478,,,,,,,,,,0,f,w80.png,,,,,,232.0489,233.3367,f,1,1.2456,,0,59,59,69,1,filler_假詞,,,煮配,,
,,,,,688954,,,,2026-05-01_21h01.05.307,ldt,2025.1.1,Win32,59.52380952,,,,,,233.3377,233.8371,,,,,,,,,,0,f,w89.png,,,,,,233.8382,234.7543,f,1,0.8613,,0,60,60,78,1,filler_假詞,,,義活,,
