hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,practrial.rt,practrial.duration,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,66.3749,66.8653,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,,,66.8658,67.9575,f,0,1.0035,,0,3,3,11,1,實驗材料,低,低,拖吊,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,67.958,68.4561,,,,,,,,,,0,f,w62.png,,,,,,,,68.4565,70.1653,f,1,1.6179,,0,4,4,51,1,filler_假詞,,,慌沉,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,70.1657,70.6631,,,,,,,,,liáu-kái,1,j,w7.png,,,,,,,,70.6644,71.4582,j,1,0.6923,,0,5,5,6,1,實驗材料,懸,懸,了解,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,71.4588,71.9237,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,,,71.9241,72.6752,j,1,0.649,,0,6,6,2,1,實驗材料,懸,懸,問題,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,72.6758,73.1875,,,,,,,,,,0,f,w85.png,,,,,,,,73.1879,76.3063,j,0,3.0591,,0,7,7,74,1,filler_假詞,,,素鼠,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,76.3068,76.8062,,,,,,,,,iông-kuàn,1,j,w15.png,,,,,,,,76.8067,78.1724,f,0,1.3063,,0,8,8,12,1,實驗材料,低,低,融券,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,78.1728,78.6685,,,,,,,,,hāu-senn/hāu-sinn,1,j,w45.png,,,,,,,,78.6689,79.6308,j,1,0.8607,,0,9,9,36,1,filler_純台語詞,,,後生,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,79.6312,80.1233,,,,,,,,,tsí-sòo,1,j,w31.png,,,,,,,,80.1237,81.4061,j,1,1.182,,0,10,10,24,1,實驗材料,低,懸,指數,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,81.4064,81.9018,,,,,,,,,,0,f,w84.png,,,,,,,,81.9021,84.0845,f,1,2.0807,,0,11,11,73,1,filler_假詞,,,川角,,
,,,,,381637,女,12,0,2026-05-02_20h31.52.393,ldt,2025.1.1,Win32,30.03003003,IwZXh0bgNhZW0CMTAAYnJpZBExeWNTVzBYRXczR0tuVjNQWXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR68m77qTb8g00RWr0ZrRqqef10pORTn34tsimG_R_st1fUvmVKiPGlAQNNy1w_aem_levltKX870M6pC6NDsgg4w,,,,,,84.085,84.5775,,,,,,,,,,0,f,w87.png,,,,,,,,84.5786,86.0406,f,1,1.359,,0,12,12,76,1,filler_假詞,,,大無,,
