hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,63.6726,64.1715,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,64.173,69.1791,,0,0,3,3,29,1,實驗材料,低,懸,學會,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,69.1798,69.6788,,,,,,,,,,0,f,w76.png,,,,,,69.6795,74.6709,,0,0,4,4,65,1,filler_假詞,,,製般,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,74.6714,75.1713,,,,,,,,,,0,f,w62.png,,,,,,75.1721,80.1712,,0,0,5,5,51,1,filler_假詞,,,慌沉,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,80.1722,80.6715,,,,,,,,,,0,f,w81.png,,,,,,80.6723,85.6719,,0,0,6,6,70,1,filler_假詞,,,部斑,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,85.6733,86.1791,,,,,,,,,,0,f,w58.png,,,,,,86.1798,91.163,,0,0,7,7,47,1,filler_假詞,,,輕牛,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,91.1638,91.6714,,,,,,,,,,0,f,w69.png,,,,,,91.6727,96.6801,,0,0,8,8,58,1,filler_假詞,,,把氣,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,96.6813,97.1717,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,97.1729,102.1715,,0,0,9,9,2,1,實驗材料,懸,懸,問題,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,102.1728,102.6801,,,,,,,,,,0,f,w64.png,,,,,,102.6807,107.6717,,0,0,10,10,53,1,filler_假詞,,,莖白,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,107.6723,108.1713,,,,,,,,,,0,f,w52.png,,,,,,108.172,113.1792,,0,0,11,11,41,1,filler_假詞,,,頭舌,,
,,,,,335907,女,43,C1,2026-05-01_15h12.19.459,ldt,2025.1.1,Win32,60.60606061,IwY2xjawRhMYBleHRuA2FlbQIxMABicmlkETFRdVRsWUNCTG1BMldEY0xmc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHmHbUyRSFp9kcvt949TaQ1LOrlM_tibyNFAZYiK9zkwafNEl6v0RTtLkJhcB_aem_61cH6KQZ9dj7ntjL-wlSYw,,,,,,113.1798,113.6793,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,113.6802,118.6713,,0,0,12,12,15,1,實驗材料,低,低,控訴,,
