hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile
0.0004,7.0942,space,7.0768,,050661,女,45,C1,2026-05-01_00h06.56.048,ldt,2025.1.1,Win32,59.17159763,IwY2xjawRgXUlleHRuA2FlbQIxMABicmlkETExRDhOUlNQcFdlWDdtM2lwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHjq7EqYHXJZhNniTpbp6DggxRhShinykWr9cDu4P909plzw-Etv_CprQeYlp_aem_i06fO5txq_q6bzoZObPrhw,,,,,,,,,,,,,,,,,,,
,,,,,050661,女,45,C1,2026-05-01_00h06.56.048,ldt,2025.1.1,Win32,59.17159763,IwY2xjawRgXUlleHRuA2FlbQIxMABicmlkETExRDhOUlNQcFdlWDdtM2lwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHjq7EqYHXJZhNniTpbp6DggxRhShinykWr9cDu4P909plzw-Etv_CprQeYlp_aem_i06fO5txq_q6bzoZObPrhw,7.0944,10.5271,space,3.4165,,,,,,,,,,,,,,,
,,,,,050661,女,45,C1,2026-05-01_00h06.56.048,ldt,2025.1.1,Win32,59.17159763,IwY2xjawRgXUlleHRuA2FlbQIxMABicmlkETExRDhOUlNQcFdlWDdtM2lwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHjq7EqYHXJZhNniTpbp6DggxRhShinykWr9cDu4P909plzw-Etv_CprQeYlp_aem_i06fO5txq_q6bzoZObPrhw,,,,,,10.5301,11.0284,11.0288,16.0273,,0,0,0,2,1,__,1,j,w49.png
,,,,,050661,女,45,C1,2026-05-01_00h06.56.048,ldt,2025.1.1,Win32,59.17159763,IwY2xjawRgXUlleHRuA2FlbQIxMABicmlkETExRDhOUlNQcFdlWDdtM2lwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHjq7EqYHXJZhNniTpbp6DggxRhShinykWr9cDu4P909plzw-Etv_CprQeYlp_aem_i06fO5txq_q6bzoZObPrhw,,,,,,16.0278,16.5269,16.5272,21.5264,,0,1,1,0,1,__,1,j,w40.png
