hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0007,26.5733,space,26.5319,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,26.5738,35.5902,space,8.9935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,35.5985,36.0902,36.0912,40.2734,f,4.1127,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,40.274,40.7733,40.7738,41.7066,j,0.8954,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,41.7074,42.2068,42.2073,43.09,j,0.8403,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,43.0903,43.5901,43.5903,44.9901,f,1.3643,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,44.9904,46.3571,space,1.3477,,,,,,,,,,,,,,,,,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,46.3663,46.8569,,,,,,,,,,,bân-phuê/bân-phê ,1,j,w42.png,,,,,,46.8574,47.9914,j,1,1.0958,,0,0,0,33,1,filler_純台語詞,,,蠻皮,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,47.9921,48.4903,,,,,,,,,,,,0,f,w86.png,,,,,,48.4907,49.757,f,1,1.2014,,0,1,1,75,1,filler_假詞,,,涼層,,
,,,,,866778,男,32,C2,2026-05-01_16h30.44.607,ldt,2025.1.1,Win32,60.24096386,,,,,,49.7574,50.2573,,,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,50.2578,51.3406,j,1,1.0217,,0,2,2,18,1,實驗材料,懸,低,母語,,
