hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
0.001,113.682,space,113.664,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,113.683,125.479,space,11.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,125.49,125.979,125.98,127.145,j,1.132,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,127.146,127.644,127.645,128.678,f,1.001,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,128.679,129.178,129.178,130.545,j,1.332,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,130.545,131.045,131.045,132.628,j,1.551,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,132.629,137.729,space,5.08,,,,,,,,,,,,,,,,
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,137.735,138.228,,,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,138.229,139.162,j,1,0.899,,0,0,0,16,1,實驗材料,懸,低,收聽
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,139.163,139.662,,,,,,,,,,,,0,f,w76.png,,,,,,139.662,141.495,j,0,1.784,,0,1,1,65,1,filler_假詞,,,製般
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,141.495,141.995,,,,,,,,,,,,0,f,w77.png,,,,,,141.995,145.112,j,0,3.086,,0,2,2,66,1,filler_假詞,,,土悲
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,145.112,145.612,,,,,,,,,,,,0,f,w87.png,,,,,,145.612,147.545,f,1,1.899,,0,3,3,76,1,filler_假詞,,,大無
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,147.546,148.045,,,,,,,,,,,kî-bōng,1,j,w38.png,,,,,,148.046,148.812,j,1,0.739,,0,4,4,31,1,實驗材料,低,懸,期望
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,148.812,149.312,,,,,,,,,,,,0,f,w83.png,,,,,,149.312,151.962,f,1,2.621,,0,5,5,72,1,filler_假詞,,,流棲
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,151.962,152.462,,,,,,,,,,,,0,f,w61.png,,,,,,152.463,155.261,j,0,2.763,,0,6,6,50,1,filler_假詞,,,呆膽
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,155.262,155.762,,,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,155.763,157.312,f,0,1.522,,0,7,7,18,1,實驗材料,懸,低,母語
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,157.313,157.812,,,,,,,,,,,bân-phuê/bân-phê ,1,j,w42.png,,,,,,157.812,158.595,j,1,0.749,,0,8,8,33,1,filler_純台語詞,,,蠻皮
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,158.596,159.095,,,,,,,,,,,su-iàu,1,j,w4.png,,,,,,159.096,160.379,f,0,1.248,,0,9,9,3,1,實驗材料,懸,懸,需要
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,160.38,160.879,,,,,,,,,,,kíng-tsìng,1,j,w16.png,,,,,,160.88,165.879,,0,,,0,10,10,13,1,實驗材料,低,低,警政
,,,,,048381,女,26,C1,2026-05-02_19h43.08.238,ldt,2025.1.1,MacIntel,58.82352941,,,,,,165.88,166.365,,,,,,,,,,,,0,f,w55.png,,,,,,166.365,173.072,,0,,,0,11,11,44,1,filler_假詞,,,苦碗
