hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,practrial.rt,practrial.duration,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0006,14.2707,space,14.2292,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,14.2709,30.4079,space,16.1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,30.4108,30.9051,30.9054,35.8883,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,35.8886,36.4089,36.4092,37.0278,f,0,1,1,2,1,__,1,j,w49.png,0.5757,,,,,,,,,,,,,,,,,,,,,,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,37.0281,37.5248,37.5251,42.5175,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,42.5179,43.0083,43.0085,44.6247,f,0,3,3,1,1,__,0,f,w92.png,1.5418,,,,,,,,,,,,,,,,,,,,,,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,,,,,,,,,,,,,,,,,44.625,47.9502,space,3.2977,,,,,,,,,,,,,,,,,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,47.9541,48.4265,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,,,48.4271,50.8352,f,0,2.3084,,0,0,0,30,1,實驗材料,低,懸,支付,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,50.8355,51.3402,,,,,,,,,hiau-pai,1,j,w46.png,,,,,,,,51.3405,55.1491,f,0,3.7662,,0,1,1,37,1,filler_純台語詞,,,囂俳,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,55.1493,55.6479,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,,,55.6482,57.2899,j,1,1.569,,0,2,2,2,1,實驗材料,懸,懸,問題,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,57.2903,57.7756,,,,,,,,,,0,f,w61.png,,,,,,,,57.7759,61.727,f,1,3.8804,,0,3,3,50,1,filler_假詞,,,呆膽,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,61.7272,62.217,,,,,,,,,,0,f,w51.png,,,,,,,,62.2174,66.123,f,1,3.8336,,0,4,4,40,1,filler_假詞,,,線瓜,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,66.1232,66.6223,,,,,,,,,,0,f,w87.png,,,,,,,,66.6227,68.1765,f,1,1.4824,,0,5,5,76,1,filler_假詞,,,大無,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,68.1767,68.6707,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,,,68.671,70.1018,j,1,1.3596,,0,6,6,39,1,filler_純台語詞,,,橫直,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,70.102,70.608,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,,,70.6084,73.3518,j,1,2.7033,,0,7,7,15,1,實驗材料,低,低,控訴,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,73.3523,73.8424,,,,,,,,,,0,f,w64.png,,,,,,,,73.8427,77.0648,f,1,3.1457,,0,8,8,53,1,filler_假詞,,,莖白,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,77.0652,77.5599,,,,,,,,,,0,f,w84.png,,,,,,,,77.5602,81.1232,f,1,3.4888,,0,9,9,73,1,filler_假詞,,,川角,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,81.1234,81.6166,,,,,,,,,uî-pio,1,j,w13.png,,,,,,,,81.617,84.3916,j,1,2.704,,0,10,10,10,1,實驗材料,低,低,圍標,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,84.3919,84.8875,,,,,,,,,tē-miâ/tuē-miâ,1,j,w25.png,,,,,,,,84.8877,85.8939,j,1,0.9366,,0,11,11,20,1,實驗材料,懸,低,地名,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,85.8942,86.3862,,,,,,,,,,0,f,w62.png,,,,,,,,86.3865,88.236,f,1,1.7777,,0,12,12,51,1,filler_假詞,,,慌沉,,
,,,,,250343,女,47,B2,2026-05-02_20h03.04.892,ldt,2025.1.1,Win32,31.94888179,IwY2xjawRixxtleHRuA2FlbQIxMABicmlkETE5dDFjdHdBZDJFeWpyTmwyc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHo_pNz0Zm_hKmt0iKkJZy0M9qRJNCzqwl-GX9Lbze5yqKBEGlXu1vlGwjvgu_aem_rnmwgYndxkppOx4_GNMd-A,,,,,,88.2365,88.7274,,,,,,,,,,0,f,w71.png,,,,,,,,88.7278,91.8918,f,1,3.0915,,0,13,13,60,1,filler_假詞,,,力巧,,
