hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0,19.046,space,19.022,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,19.046,19.072,space,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,19.077,19.573,19.574,22.933,f,3.308,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,22.934,23.422,23.423,25.399,j,1.915,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,25.4,25.889,25.889,28.232,j,2.278,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,28.233,28.721,28.722,32.384,f,3.594,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,32.392,34.266,space,1.852,,,,,,,,,,,,,,,,,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,34.277,34.754,,,,,,,,,,,,0,f,w72.png,,,,,,34.755,35.816,j,0,0.997,,0,0,0,61,1,filler_假詞,,,家覺,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,35.816,36.304,,,,,,,,,,,liáu-kái,1,j,w7.png,,,,,,36.305,37.199,j,1,0.827,,0,1,1,6,1,實驗材料,懸,懸,了解,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,37.199,37.704,,,,,,,,,,,í-king,1,j,w1.png,,,,,,37.705,38.698,f,0,0.946,,0,2,2,0,1,實驗材料,懸,懸,已經,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,38.699,39.187,,,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,39.188,39.915,j,1,0.663,,0,3,3,16,1,實驗材料,懸,低,收聽,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,39.915,40.404,,,,,,,,,,,hôo-sîn,1,j,w47.png,,,,,,40.404,41.598,j,1,1.128,,0,4,4,38,1,filler_純台語詞,,,胡蠅,,
,,,,,850695,女,19,0,2026-05-01_01h44.52.046,ldt,2025.1.1,MacIntel,58.82352941,,,,,,41.599,42.089,,,,,,,,,,,khai-sí,1,j,w2.png,,,,,,42.091,42.898,j,1,0.748,,0,5,5,1,1,實驗材料,懸,懸,開始,,
