hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0002,2.5302,space,2.5169,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,2.5304,2.9907,space,0.4455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,2.9949,3.4916,3.492,4.2061,f,0.6881,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,4.2066,4.7056,4.7065,5.4622,j,0.7356,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,5.4631,5.9627,5.9633,7.4968,f,1.5145,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,7.4977,7.9973,7.998,9.6115,f,1.5937,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,9.6118,13.0255,space,3.4013,,,,,,,,,,,,,,,,,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,13.03,13.5244,,,,,,,,,,,tē-miâ/tuē-miâ,1,j,w25.png,,,,,,13.5254,14.3006,j,1,0.7566,,0,0,0,20,1,實驗材料,懸,低,地名,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,14.3009,14.8031,,,,,,,,,,,hôo-sîn,1,j,w47.png,,,,,,14.8035,15.9274,j,1,1.1043,,0,1,1,38,1,filler_純台語詞,,,胡蠅,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,15.9283,16.4273,,,,,,,,,,,,0,f,w62.png,,,,,,16.4281,17.7051,f,1,1.2553,,0,2,2,51,1,filler_假詞,,,慌沉,,
,,,,,162116,男,20,教育部B卷205,2026-05-01_00h07.30.796,ldt,2025.1.1,Win32,142.8571429,,,,,,17.706,18.2054,,,,,,,,,,,tsâi-bū,1,j,w35.png,,,,,,18.206,19.5383,j,1,1.3131,,0,3,3,28,1,實驗材料,低,懸,財務,,
