hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,24.4854,space,24.4587,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,24.4857,34.8681,space,10.3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,34.8759,35.3679,35.3685,40.3611,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,40.3615,40.8775,40.8777,45.868,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,45.8684,46.3673,46.3676,51.3769,,0,2,2,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,51.3771,51.8609,51.8612,56.8674,,0,3,3,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,,,,,,,,,,,,,,,56.8678,64.2175,space,7.3283,,,,,,,,,,,,,,,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,64.2229,64.7179,,,,,,,,,tshit-thô,1,j,w41.png,,,,,,64.7184,69.7108,,0,0,0,0,32,1,filler_純台語詞,,,𨑨迌,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,69.7112,70.2066,,,,,,,,,hâng-ūn,1,j,w17.png,,,,,,70.207,75.2173,,0,0,1,1,14,1,實驗材料,低,低,航運,,
,,,,,035314,男,41,0,2026-05-02_15h01.24.260,ldt,2025.1.1,Win32,62.11180124,IwY2xjawRigEVleHRuA2FlbQIxMABicmlkETFBSXVXMlNDbmtRUG5JUDltc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgZqE_qf5V-1pebJnuAPT7nBF1I_Ih3A5zLH_nieoRQvl8innJPEpsBH0WCb_aem_8zi926OG1ReQZJs3d5sR6Q,,,,,,75.2177,75.7172,,,,,,,,,,0,f,w54.png,,,,,,75.7175,80.7178,,0,0,2,2,43,1,filler_假詞,,,狗人,,
