hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0002,7.1042,space,7.0769,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,7.1043,8.8253,space,1.7018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,8.8275,9.3209,9.3214,10.2185,f,0.8464,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,10.2188,10.7127,10.7129,12.271,f,1.5059,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,12.2712,12.7686,12.7691,14.6297,j,1.8091,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,14.6302,15.134,15.1343,15.9547,j,0.7869,,0,3,3,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,15.955,21.724,space,5.7502,,,,,,,,,,,,,,,,,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,21.7276,22.2189,,,,,,,,,,,bân-phuê/bân-phê ,1,j,w42.png,,,,,,22.2193,23.0642,j,1,0.7953,,0,0,0,33,1,filler_純台語詞,,,蠻皮,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,23.0644,23.5577,,,,,,,,,,,jiá-hō/liá-hō,1,j,w11.png,,,,,,23.5581,25.1958,f,0,1.5831,,0,1,1,8,1,實驗材料,低,低,惹禍,,
,,,,,851006,男,26,B2,2026-04-30_22h03.09.247,ldt,2025.1.1,Win32,59.88023952,,,,,,25.1961,25.6871,,,,,,,,,,,,0,f,w58.png,,,,,,25.6873,26.8263,f,1,1.0826,,0,2,2,47,1,filler_假詞,,,輕牛,,
