hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,10.4891,space,10.4579,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,10.4898,16.819,space,6.2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,16.8331,17.3176,17.3181,18.2678,j,0.8824,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,18.269,18.7669,18.7684,19.9863,f,1.1533,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,19.9874,20.4834,20.4844,21.2329,j,0.6632,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,21.2344,21.7326,21.7336,23.4822,f,1.6889,,0,3,3,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,23.4829,27.1483,space,3.6342,,,,,,,,,,,,,,,,,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,27.1618,27.6476,,,,,,,,,,,iông-kuàn,1,j,w15.png,,,,,,27.6491,29.2804,f,0,1.5625,,0,0,0,12,1,實驗材料,低,低,融券,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,29.2811,29.7798,,,,,,,,,,,kî-bōng,1,j,w38.png,,,,,,29.7804,31.3293,f,0,1.4937,,0,1,1,31,1,實驗材料,低,懸,期望,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,31.3307,31.8293,,,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,31.8302,33.7287,f,0,1.8367,,0,2,2,29,1,實驗材料,低,懸,學會,,
,,,,,347600,男,70,C1,2026-05-01_13h49.21.817,ldt,2025.1.1,Win32,59.88023952,,,,,,33.7302,34.2284,,,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,34.2292,35.4613,j,1,1.1534,,0,3,3,15,1,實驗材料,低,低,控訴,,
