hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0002,85.7438,space,85.658,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,85.744,231.0279,space,145.2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,231.0312,231.5079,231.5086,234.3925,f,2.7821,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,234.3934,234.8758,234.8764,237.0477,j,2.0684,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,237.0483,237.5218,237.5224,239.1506,j,1.5227,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,239.1513,239.639,239.6394,242.0498,f,2.3066,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,,,,,,,,,,,,,,,,,242.0504,244.9865,space,2.8838,,,,,,,,,,,,,,,,,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,244.9925,245.4713,,,,,,,,,,,í-king,1,j,w1.png,,,,,,245.4718,246.5914,j,1,1.0108,,0,0,0,0,1,實驗材料,懸,懸,已經,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,246.5921,247.0867,,,,,,,,,,,,0,f,w79.png,,,,,,247.0869,248.6911,f,1,1.5125,,0,1,1,68,1,filler_假詞,,,熱條,,
,,,,,266461,女,50,B2,2026-05-01_08h39.10.713,ldt,2025.1.1,Win32,20.04008016,IwY2xjawRg1WFleHRuA2FlbQIxMABicmlkETFFbFpNQkFzUTZBb0ppdUtSc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHv8FrTV-m0ZnEqIALUcnVNtlQVUTUGPEvl6GyYoVWR5DXLHrXtmXOvHHG_BI_aem_-Ib3JZNCNP52iDCJXKvOyw,,,,,,248.6916,249.1712,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,249.1717,251.0436,f,0,1.765,,0,2,2,30,1,實驗材料,低,懸,支付,,
