hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0005,23.2719,space,23.241,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,23.2726,30.6798,space,7.3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,30.6969,31.179,31.181,33.144,j,1.889,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,33.1449,33.6362,33.6367,35.2096,j,1.498,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,35.2108,35.7099,35.7115,37.7239,f,1.9612,,0,2,2,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,37.7243,38.2245,38.225,40.1728,f,1.8938,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,40.1739,43.2392,space,3.0371,,,,,,,,,,,,,,,,,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,43.2548,43.7387,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,43.7405,46.2876,j,1,2.4886,,0,0,0,30,1,實驗材料,低,懸,支付,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,46.2884,46.7868,,,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,46.7874,49.352,j,1,2.4999,,0,1,1,17,1,實驗材料,懸,低,放射,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,49.3525,49.8517,,,,,,,,,,,khai-sí,1,j,w2.png,,,,,,49.8523,50.8945,j,1,0.9958,,0,2,2,1,1,實驗材料,懸,懸,開始,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,50.8952,51.3851,,,,,,,,,,,khe-tsuí/khue-tsuí,1,j,w27.png,,,,,,51.3859,52.951,j,1,1.4928,,0,3,3,22,1,實驗材料,懸,低,溪水,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,52.952,53.4505,,,,,,,,,,,,0,f,w75.png,,,,,,53.4516,55.7159,f,1,2.209,,0,4,4,64,1,filler_假詞,,,野吉,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,55.7166,56.2157,,,,,,,,,,,kíng-tsìng,1,j,w16.png,,,,,,56.2163,57.8815,j,1,1.6048,,0,5,5,13,1,實驗材料,低,低,警政,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,57.8823,58.3813,,,,,,,,,,,,0,f,w63.png,,,,,,58.3822,59.7481,f,1,1.3091,,0,6,6,52,1,filler_假詞,,,語情,,
,,,,,267218,m,57,0,2026-04-30_16h20.25.786,ldt,2025.1.1,Win32,60.24096386,,,,,,59.7488,60.2469,,,,,,,,,,,,0,f,w80.png,,,,,,60.2477,65.2449,,0,,,0,7,7,69,1,filler_假詞,,,煮配,,
