hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.001,6.163,space,6.129,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,6.163,13.931,space,7.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,13.937,14.432,14.432,15.649,f,1.168,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,15.649,16.15,16.15,17.149,j,0.951,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,17.149,17.65,17.65,19.651,f,1.959,,0,2,2,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,19.652,20.152,20.152,20.968,j,0.77,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,20.969,21.953,space,0.962,,,,,,,,,,,,,,,,,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,21.964,22.452,,,,,,,,,,,,0,f,w60.png,,,,,,22.452,23.386,f,1,0.882,,0,0,0,49,1,filler_假詞,,,豬力,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,23.386,23.885,,,,,,,,,,,,0,f,w74.png,,,,,,23.885,24.82,f,1,0.893,,0,1,1,63,1,filler_假詞,,,動夜,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,24.821,25.319,,,,,,,,,,,,0,f,w78.png,,,,,,25.319,27.389,j,0,2.032,,0,2,2,67,1,filler_假詞,,,假闊,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,27.389,27.889,,,,,,,,,,,,0,f,w73.png,,,,,,27.889,28.872,f,1,0.933,,0,3,3,62,1,filler_假詞,,,腹伏,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,28.872,29.371,,,,,,,,,,,khai-sí,1,j,w2.png,,,,,,29.371,30.122,j,1,0.689,,0,4,4,1,1,實驗材料,懸,懸,開始,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,30.122,30.623,,,,,,,,,,,,0,f,w79.png,,,,,,30.623,31.556,f,1,0.91,,0,5,5,68,1,filler_假詞,,,熱條,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,31.556,32.056,,,,,,,,,,,,0,f,w51.png,,,,,,32.056,33.857,f,1,1.758,,0,6,6,40,1,filler_假詞,,,線瓜,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,33.857,34.357,,,,,,,,,,,tsí-sòo,1,j,w31.png,,,,,,34.358,35.942,j,1,1.535,,0,7,7,24,1,實驗材料,低,懸,指數,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,35.943,36.441,,,,,,,,,,,uî-pio,1,j,w13.png,,,,,,36.441,37.609,j,1,1.101,,0,8,8,10,1,實驗材料,低,低,圍標,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,37.609,38.111,,,,,,,,,,,,0,f,w89.png,,,,,,38.112,39.86,j,0,1.703,,0,9,9,78,1,filler_假詞,,,義活,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,39.861,40.361,,,,,,,,,,,,0,f,w56.png,,,,,,40.361,42.464,f,1,2.056,,0,10,10,45,1,filler_假詞,,,心果,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,42.464,42.964,,,,,,,,,,,,0,f,w75.png,,,,,,42.964,43.797,f,1,0.777,,0,11,11,64,1,filler_假詞,,,野吉,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,43.797,44.296,,,,,,,,,,,,0,f,w68.png,,,,,,44.297,45.429,f,1,1.087,,0,12,12,57,1,filler_假詞,,,變縱,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,45.429,45.93,,,,,,,,,,,,0,f,w82.png,,,,,,45.931,46.948,j,0,0.972,,0,13,13,71,1,filler_假詞,,,食轉,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,46.948,47.446,,,,,,,,,,,,0,f,w88.png,,,,,,47.447,48.781,j,0,1.272,,0,14,14,77,1,filler_假詞,,,了物,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,48.781,49.282,,,,,,,,,,,í-king,1,j,w1.png,,,,,,49.282,50.214,j,1,0.885,,0,15,15,0,1,實驗材料,懸,懸,已經,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,50.214,50.714,,,,,,,,,,,gāi-gio̍h,1,j,w43.png,,,,,,50.714,51.482,j,1,0.726,,0,16,16,34,1,filler_純台語詞,,,礙虐,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,51.482,51.982,,,,,,,,,,,tsú-kàu,1,j,w24.png,,,,,,51.982,52.934,j,1,0.911,,0,17,17,19,1,實驗材料,懸,低,主教,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,52.934,53.434,,,,,,,,,,,su-uî,1,j,w32.png,,,,,,53.434,54.083,j,1,0.605,,0,18,18,25,1,實驗材料,低,懸,思維,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,54.084,54.586,,,,,,,,,,,,0,f,w81.png,,,,,,54.586,55.601,f,1,0.97,,0,19,19,70,1,filler_假詞,,,部斑,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,55.601,56.102,,,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,56.102,56.87,j,1,0.725,,0,20,20,5,1,實驗材料,懸,懸,出去,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,56.871,57.368,,,,,,,,,,,,0,f,w61.png,,,,,,57.368,59.502,j,0,2.073,,0,21,21,50,1,filler_假詞,,,呆膽,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,59.502,60.003,,,,,,,,,,,kíng-tsìng,1,j,w16.png,,,,,,60.003,61.004,j,1,0.959,,0,22,22,13,1,實驗材料,低,低,警政,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,61.004,61.504,,,,,,,,,,,hāu-senn/hāu-sinn,1,j,w45.png,,,,,,61.505,62.387,j,1,0.837,,0,23,23,36,1,filler_純台語詞,,,後生,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,62.388,62.887,,,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,62.887,63.539,j,1,0.606,,0,24,24,21,1,實驗材料,懸,低,救命,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,63.54,64.038,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,64.039,65.224,j,1,1.14,,0,25,25,30,1,實驗材料,低,懸,支付,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,65.225,65.723,,,,,,,,,,,tsâi-bū,1,j,w35.png,,,,,,65.723,66.542,j,1,0.758,,0,26,26,28,1,實驗材料,低,懸,財務,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,66.542,67.039,,,,,,,,,,,,0,f,w85.png,,,,,,67.04,68.106,f,1,1.003,,0,27,27,74,1,filler_假詞,,,素鼠,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,68.107,68.593,,,,,,,,,,,,0,f,w58.png,,,,,,68.594,69.808,f,1,1.151,,0,28,28,47,1,filler_假詞,,,輕牛,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,69.808,70.309,,,,,,,,,,,,0,f,w65.png,,,,,,70.31,71.458,f,1,1.103,,0,29,29,54,1,filler_假詞,,,分然,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,71.458,71.958,,,,,,,,,,,,0,f,w54.png,,,,,,71.959,72.861,f,1,0.86,,0,30,30,43,1,filler_假詞,,,狗人,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,72.862,73.361,,,,,,,,,,,,0,f,w77.png,,,,,,73.361,74.426,f,1,1.02,,0,31,31,66,1,filler_假詞,,,土悲,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,74.426,74.927,,,,,,,,,,,kuè--lâi,1,j,w8.png,,,,,,74.927,75.827,j,1,0.855,,0,32,32,7,1,實驗材料,懸,懸,過來,,
,,,,,593069,女,28,B1,2026-05-03_02h05.21.629,ldt,2025.1.1,MacIntel,58.82352941,,,,,,75.828,76.326,,,,,,,,,,,,0,f,w70.png,,,,,,76.327,77.212,f,1,0.844,,0,33,33,59,1,filler_假詞,,,年指,,
