hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,practrial.rt,practrial.duration,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0002,39.6939,space,39.6781,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,39.6942,48.8602,space,9.1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,48.863,49.3588,49.3593,54.3624,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,54.3629,54.8578,54.8581,56.6359,j,0,1,1,0,1,__,1,j,w40.png,1.751,,,,,,,,,,,,,,,,,,,,,,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,56.6365,57.1356,57.136,59.5471,f,0,2,2,3,1,__,0,f,w97.png,2.3885,,,,,,,,,,,,,,,,,,,,,,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,59.5474,60.0429,60.0433,61.5413,f,0,3,3,1,1,__,0,f,w92.png,1.4657,,,,,,,,,,,,,,,,,,,,,,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,,,,,,,,,,,,,,,,,61.5416,64.562,space,3.009,,,,,,,,,,,,,,,,,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,64.5657,65.054,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,,,65.0547,66.4457,j,1,1.3567,,0,0,0,5,1,實驗材料,懸,懸,出去,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,66.4458,66.9381,,,,,,,,,,0,f,w56.png,,,,,,,,66.939,68.0238,f,1,1.0559,,0,1,1,45,1,filler_假詞,,,心果,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,68.024,68.5194,,,,,,,,,i-kì/i-kù,1,j,w33.png,,,,,,,,68.5197,69.9198,j,1,1.372,,0,2,2,26,1,實驗材料,低,懸,依據,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,69.9201,70.4131,,,,,,,,,,0,f,w81.png,,,,,,,,70.4134,71.5748,f,1,1.1334,,0,3,3,70,1,filler_假詞,,,部斑,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,71.575,72.0721,,,,,,,,,,0,f,w76.png,,,,,,,,72.0724,73.7113,j,0,1.6091,,0,4,4,65,1,filler_假詞,,,製般,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,73.7118,74.2138,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,,,74.2143,75.5002,f,0,1.2663,,0,5,5,29,1,實驗材料,低,懸,學會,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,75.5006,75.9982,,,,,,,,,kî-bōng,1,j,w38.png,,,,,,,,75.9987,76.9156,j,1,0.8837,,0,6,6,31,1,實驗材料,低,懸,期望,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,76.916,77.4095,,,,,,,,,kíng-tsìng,1,j,w16.png,,,,,,,,77.4097,78.6946,j,1,1.2577,,0,7,7,13,1,實驗材料,低,低,警政,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,78.6948,79.1964,,,,,,,,,,0,f,w63.png,,,,,,,,79.1968,80.2967,f,1,1.0811,,0,8,8,52,1,filler_假詞,,,語情,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,80.2969,80.7922,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,,,80.7925,81.8446,j,1,1.0193,,0,9,9,39,1,filler_純台語詞,,,橫直,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,81.8448,82.3422,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,,,82.3426,83.6827,j,1,1.3084,,0,10,10,17,1,實驗材料,懸,低,放射,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,83.6833,84.1829,,,,,,,,,hiau-pai,1,j,w46.png,,,,,,,,84.1838,85.1605,j,1,0.9615,,0,11,11,37,1,filler_純台語詞,,,囂俳,,
,,,,,556724,m,25,B2,2026-04-29_15h06.24.500,ldt,2025.1.1,Win32,90.90909091,,,,,,85.1611,85.6605,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,,,85.6611,86.344,j,1,0.6654,,0,12,12,16,1,實驗材料,懸,低,收聽,,
