hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,41.3762,space,41.3395,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,41.3763,44.062,space,2.6661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,44.065,44.5659,44.5662,48.7667,f,4.1642,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,48.767,49.2664,49.2667,53.46,j,4.1644,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,53.4608,53.9585,53.9587,58.6799,j,4.6751,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,58.6802,59.1804,59.1808,60.356,j,1.1413,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,60.3566,67.3053,space,6.9257,,,,,,,,,,,,,,,,,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,67.3109,67.8059,,,,,,,,,,,,0,f,w63.png,,,,,,67.8064,70.3582,j,0,2.5171,,0,0,0,52,1,filler_假詞,,,語情,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,70.3583,70.8585,,,,,,,,,,,tsú-kàu,1,j,w24.png,,,,,,70.8587,75.0183,j,1,4.1342,,0,1,1,19,1,實驗材料,懸,低,主教,,
,,,,,414653,男,48,C2,2026-05-01_09h20.36.208,ldt,2025.1.1,Win32,58.82352941,,,,,,75.0191,75.5262,,,,,,,,,,,,0,f,w51.png,,,,,,75.5264,78.15,j,0,2.5946,,0,2,2,40,1,filler_假詞,,,線瓜,,
