hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,trialkeyboard.rt,trialkeyboard.duration,thanksroutine.started,thanksroutine.stopped
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,71.515,72.0152,,,,,,,,,,0,f,w73.png,,,,,,72.0155,77.0039,,0,0,3,3,62,1,filler_假詞,,,腹伏,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,77.0044,77.5038,,,,,,,,,,0,f,w65.png,,,,,,77.5043,82.5092,,0,0,4,4,54,1,filler_假詞,,,分然,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,82.5096,83.0096,,,,,,,,,,0,f,w52.png,,,,,,83.0098,88.0147,,0,0,5,5,41,1,filler_假詞,,,頭舌,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,88.0151,88.5152,,,,,,,,,,0,f,w90.png,,,,,,88.5154,93.5038,,0,0,6,6,79,1,filler_假詞,,,失務,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,93.5043,94.0035,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,94.0041,99.0088,,0,0,7,7,39,1,filler_純台語詞,,,橫直,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,99.0091,99.509,,,,,,,,,liáu-kái,1,j,w7.png,,,,,,99.5092,104.5145,,0,0,8,8,6,1,實驗材料,懸,懸,了解,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,104.5151,105.0152,,,,,,,,,,0,f,w63.png,,,,,,105.0157,110.0031,,0,0,9,9,52,1,filler_假詞,,,語情,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,110.0033,110.5036,,,,,,,,,,0,f,w58.png,,,,,,110.5038,115.5101,,0,0,10,10,47,1,filler_假詞,,,輕牛,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,115.5102,116.0094,,,,,,,,,,0,f,w53.png,,,,,,116.0096,121.0145,,0,0,11,11,42,1,filler_假詞,,,水空,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,121.0149,121.5149,,,,,,,,,tshit-thô,1,j,w41.png,,,,,,121.515,126.5033,,0,0,12,12,32,1,filler_純台語詞,,,𨑨迌,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,126.5035,127.0035,,,,,,,,,í-king,1,j,w1.png,,,,,,127.0037,132.0083,,0,0,13,13,0,1,實驗材料,懸,懸,已經,,,,
,,,,,908833,男,16,0,2026-05-01_17h54.51.063,ldt,2025.1.1,Win32,59.88023952,IwY2xjawRhV5ZleHRuA2FlbQIxMABicmlkETFrQklPSWEzY25qUnpxVzVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnDVqdJuJiAvreJxIBzYmGIXhND5-7YdbqsdUywL1Vhu7dJ4Ag-Qp1-rIKCQ_aem_Z4Lc-BFTixGppeAAgqXS6w,,,,,,132.0085,132.5087,,,,,,,,,,0,f,w71.png,,,,,,132.509,137.514,,0,0,14,14,60,1,filler_假詞,,,力巧,,,,
