hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
0.0004,10.1927,space,10.1472,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,10.1929,17.4303,space,7.2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,17.4359,17.9307,17.9313,20.9717,f,2.9944,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,20.9721,21.4678,21.4683,25.4048,f,3.8666,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,25.4051,25.9053,25.9056,27.4401,j,1.4738,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,27.4404,27.9406,27.9408,29.2531,j,1.1382,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,29.2533,31.1549,space,1.885,,,,,,,,,,,,,,,,
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,31.1599,31.6443,,,,,,,,,,,,0,f,w75.png,,,,,,31.6448,34.3139,f,1,2.6028,,0,0,0,64,1,filler_假詞,,,野吉
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,34.3142,34.8251,,,,,,,,,,,,0,f,w57.png,,,,,,34.8254,37.8172,f,1,2.9512,,0,1,1,46,1,filler_假詞,,,老失
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,37.8175,38.3177,,,,,,,,,,,,0,f,w82.png,,,,,,38.318,39.836,j,0,1.4814,,0,2,2,71,1,filler_假詞,,,食轉
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,39.8363,40.3365,,,,,,,,,,,khe-tsuí/khue-tsuí,1,j,w27.png,,,,,,40.3367,41.9379,j,1,1.563,,0,3,3,22,1,實驗材料,懸,低,溪水
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,41.9384,42.4384,,,,,,,,,,,,0,f,w74.png,,,,,,42.4388,43.7898,j,0,1.3353,,0,4,4,63,1,filler_假詞,,,動夜
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,43.7901,44.2902,,,,,,,,,,,tshit-thô,1,j,w41.png,,,,,,44.2905,45.1579,j,1,0.8246,,0,5,5,32,1,filler_純台語詞,,,𨑨迌
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,45.1583,45.653,,,,,,,,,,,iông-kuàn,1,j,w15.png,,,,,,45.6532,47.3267,j,1,1.6222,,0,6,6,12,1,實驗材料,低,低,融券
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,47.327,47.8272,,,,,,,,,,,hām-bîn,1,j,w44.png,,,,,,47.8276,49.6235,j,1,1.7597,,0,7,7,35,1,filler_純台語詞,,,陷眠
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,49.6238,50.1128,,,,,,,,,,,tsha-ī,1,j,w34.png,,,,,,50.1131,51.4754,j,1,1.3042,,0,8,8,27,1,實驗材料,低,懸,差異
,,,,,469010,男,20,0,2026-05-01_00h12.37.859,ldt,2025.1.1,Win32,59.17159763,,,,,,51.4756,51.9667,,,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,51.9671,57.9729,,0,,,0,9,9,29,1,實驗材料,低,懸,學會
