hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0002,9.4771,space,9.4524,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,9.4772,16.0001,space,6.4974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,16.0032,16.4931,16.4933,18.2672,j,1.7159,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,18.2678,18.7605,18.7609,20.2412,f,1.4266,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,20.242,20.7349,20.7352,22.0018,j,1.2169,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,22.0025,22.4953,22.4955,23.9094,f,1.3682,,0,3,3,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,23.9097,27.3777,space,3.4419,,,,,,,,,,,,,,,,,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,27.3825,27.8709,,,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,27.8713,28.7246,j,1,0.7971,,0,0,0,15,1,實驗材料,低,低,控訴,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,28.7249,29.218,,,,,,,,,,,,0,f,w67.png,,,,,,29.2186,31.6858,f,1,2.4114,,0,1,1,56,1,filler_假詞,,,出措,,
,,,,,748424,查埔,18,0,2026-05-01_13h33.38.366,ldt,2025.1.1,Win32,74.07407407,,,,,,31.6863,32.1793,,,,,,,,,,,í-king,1,j,w1.png,,,,,,32.1798,33.0867,j,1,0.8595,,0,2,2,0,1,實驗材料,懸,懸,已經,,
