hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
1E-04,1.0939,space,1.0821,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,1.094,6.352,space,5.2458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,6.3545,6.8517,6.8522,7.6128,j,0.7378,,0,0,0,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,7.6134,8.109,8.1096,9.4592,j,1.327,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,9.4597,9.9555,9.9557,11.6917,j,1.7047,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,11.692,12.1911,12.1913,13.1493,f,0.9293,,0,3,3,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,13.1495,14.1013,space,0.9375,,,,,,,,,,,,,,,,,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,14.1042,14.603,,,,,,,,,,,,0,f,w66.png,,,,,,14.6036,15.761,j,0,1.1389,,0,0,0,55,1,filler_假詞,,,冒張,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,15.7614,16.2624,,,,,,,,,,,su-iàu,1,j,w4.png,,,,,,16.2626,16.9775,f,0,0.696,,0,1,1,3,1,實驗材料,懸,懸,需要,,
,,,,,827552,F,19,c1,2026-04-29_16h25.19.844,ldt,2025.1.1,Win32,175.4385965,,,,,,16.9778,17.4718,,,,,,,,,,,,0,f,w75.png,,,,,,17.4721,19.7634,f,1,2.2595,,0,2,2,64,1,filler_假詞,,,野吉,,
