hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0001,31.6246,space,31.6034,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,31.625,47.3223,space,15.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,47.3313,47.8221,47.8228,50.7545,f,2.8848,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,50.7552,51.2542,51.2546,52.2874,j,0.9877,,0,1,1,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,52.2879,52.7872,52.7877,53.8038,j,0.9784,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,53.8043,54.3038,54.3041,56.4207,f,2.0829,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,56.4211,59.2872,space,2.8386,,,,,,,,,,,,,,,,,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,59.2966,59.7866,,,,,,,,,,,,0,f,w87.png,,,,,,59.7877,61.2698,f,1,1.4429,,0,0,0,76,1,filler_假詞,,,大無,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,61.2704,61.7696,,,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,61.7699,62.4528,j,1,0.6411,,0,1,1,39,1,filler_純台語詞,,,橫直,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,62.4529,62.9527,,,,,,,,,,,,0,f,w80.png,,,,,,62.9529,67.9521,,0,,,0,2,2,69,1,filler_假詞,,,煮配,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,67.9524,68.4521,,,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,68.4526,69.2352,j,1,0.7152,,0,3,3,18,1,實驗材料,懸,低,母語,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,69.2355,69.7351,,,,,,,,,,,,0,f,w89.png,,,,,,69.7356,71.3517,f,1,1.5675,,0,4,4,78,1,filler_假詞,,,義活,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,71.3521,71.8517,,,,,,,,,,,,0,f,w71.png,,,,,,71.852,74.0345,f,1,2.1387,,0,5,5,60,1,filler_假詞,,,力巧,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,74.035,74.5346,,,,,,,,,,,tshit-thô,1,j,w41.png,,,,,,74.5351,75.1508,j,1,0.5782,,0,6,6,32,1,filler_純台語詞,,,𨑨迌,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,75.1513,75.6511,,,,,,,,,,,su-uî,1,j,w32.png,,,,,,75.6516,76.3843,j,1,0.6851,,0,7,7,25,1,實驗材料,低,懸,思維,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,76.3848,76.8842,,,,,,,,,,,kóng-huat,1,j,w28.png,,,,,,76.8846,78.7674,j,1,1.84,,0,8,8,23,1,實驗材料,懸,低,講法,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,78.7679,79.2671,,,,,,,,,,,tsí-sòo,1,j,w31.png,,,,,,79.2674,80.1171,j,1,0.8135,,0,9,9,24,1,實驗材料,低,懸,指數,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,80.1175,80.6171,,,,,,,,,,,,0,f,w53.png,,,,,,80.6176,82.0499,j,0,1.3975,,0,10,10,42,1,filler_假詞,,,水空,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,82.0503,82.5498,,,,,,,,,,,i-kì/i-kù,1,j,w33.png,,,,,,82.5501,85.0829,j,1,2.5038,,0,11,11,26,1,實驗材料,低,懸,依據,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,85.0831,85.583,,,,,,,,,,,,0,f,w56.png,,,,,,85.5833,86.816,f,1,1.191,,0,12,12,45,1,filler_假詞,,,心果,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,86.8165,87.316,,,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,87.3166,89.0827,f,0,1.7238,,0,13,13,29,1,實驗材料,低,懸,學會,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,89.0831,89.5825,,,,,,,,,,,hôo-sîn,1,j,w47.png,,,,,,89.5829,90.5991,j,1,0.9766,,0,14,14,38,1,filler_純台語詞,,,胡蠅,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,90.5995,91.099,,,,,,,,,,,,0,f,w59.png,,,,,,91.0994,92.6987,f,1,1.56,,0,15,15,48,1,filler_假詞,,,貓快,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,92.6989,93.1988,,,,,,,,,,,,0,f,w72.png,,,,,,93.1993,94.4984,f,1,1.2609,,0,16,16,61,1,filler_假詞,,,家覺,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,94.4988,94.9987,,,,,,,,,,,jiá-hō/liá-hō,1,j,w11.png,,,,,,94.9991,97.4649,f,0,2.4206,,0,17,17,8,1,實驗材料,低,低,惹禍,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,97.4652,97.9647,,,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,97.9651,99.098,j,1,1.0894,,0,18,18,17,1,實驗材料,懸,低,放射,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,99.0985,99.5979,,,,,,,,,,,,0,f,w69.png,,,,,,99.5983,101.0979,f,1,1.4554,,0,19,19,58,1,filler_假詞,,,把氣,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,101.0983,101.5976,,,,,,,,,,,,0,f,w54.png,,,,,,101.5981,103.5138,f,1,1.8704,,0,20,20,43,1,filler_假詞,,,狗人,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,103.514,104.0136,,,,,,,,,,,,0,f,w82.png,,,,,,104.0139,105.5806,f,1,1.5352,,0,21,21,71,1,filler_假詞,,,食轉,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,105.581,106.0804,,,,,,,,,,,í-king,1,j,w1.png,,,,,,106.0808,107.2805,j,1,1.1602,,0,22,22,0,1,實驗材料,懸,懸,已經,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,107.281,107.7803,,,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,107.7807,109.3796,j,1,1.5612,,0,23,23,21,1,實驗材料,懸,低,救命,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,109.3801,109.8799,,,,,,,,,,,,0,f,w68.png,,,,,,109.8803,112.263,f,1,2.3366,,0,24,24,57,1,filler_假詞,,,變縱,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,112.2632,112.7629,,,,,,,,,,,,0,f,w58.png,,,,,,112.7632,113.663,f,1,0.8513,,0,25,25,47,1,filler_假詞,,,輕牛,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,113.6634,114.1629,,,,,,,,,,,,0,f,w73.png,,,,,,114.1634,115.2961,f,1,1.0842,,0,26,26,62,1,filler_假詞,,,腹伏,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,115.2964,115.796,,,,,,,,,,,,0,f,w88.png,,,,,,115.7964,118.5456,j,0,2.7065,,0,27,27,77,1,filler_假詞,,,了物,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,118.546,119.0455,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,119.046,121.795,j,1,2.7095,,0,28,28,30,1,實驗材料,低,懸,支付,,
,,,,,157873,女,28,B1,2026-05-01_23h09.41.936,ldt,2025.1.1,Win32,59.88023952,,,,,,121.7954,122.295,,,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,122.2954,123.0449,j,1,0.7023,,0,29,29,2,1,實驗材料,懸,懸,問題,,
