hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,practrial.rt,practrial.duration,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,32.8741,space,32.8444,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,32.8746,44.9015,space,11.9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,44.9065,45.4009,45.4017,50.3985,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,50.3991,50.8983,50.8986,55.8958,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,55.8962,56.3952,56.3955,61.1431,f,0,2,2,3,1,__,0,f,w97.png,4.6977,,,,,,,,,,,,,,,,,,,,,,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,61.1435,61.6427,61.6431,62.8253,j,0,3,3,2,1,__,1,j,w49.png,1.1527,,,,,,,,,,,,,,,,,,,,,,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,62.8256,70.4888,space,7.6426,,,,,,,,,,,,,,,,,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,70.4936,70.9881,,,,,,,,,,0,f,w79.png,,,,,,,,70.9885,74.8196,f,1,3.8123,,0,0,0,68,1,filler_假詞,,,熱條,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,74.8199,75.3193,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,,,75.3196,77.0855,j,1,1.7329,,0,1,1,21,1,實驗材料,懸,低,救命,,
,,,,,597133,F,31,C1,2026-04-30_16h12.58.216,ldt,2025.1.1,Win32,60.60606061,,,,,,77.0859,77.5849,,,,,,,,,,0,f,w58.png,,,,,,,,77.5853,80.017,f,1,2.3818,,0,2,2,47,1,filler_假詞,,,輕牛,,
