hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,38.5103,space,38.4935,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,38.5107,49.0267,space,10.4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,49.032,49.5265,49.5275,52.21,f,2.6583,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,52.2108,52.7097,52.7101,55.8265,f,3.0815,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,55.8271,56.3254,56.3259,57.593,j,1.2249,,0,2,2,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,57.5934,58.0928,58.0933,59.0763,j,0.9585,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,,,,,,,,,,,,,,,,,59.0767,62.8264,space,3.73,,,,,,,,,,,,,,,,,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,62.8309,63.3259,,,,,,,,,,,tshit-thô,1,j,w41.png,,,,,,63.3264,64.493,j,1,1.1432,,0,0,0,32,1,filler_純台語詞,,,𨑨迌,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,64.4933,64.9931,,,,,,,,,,,bân-phuê/bân-phê ,1,j,w42.png,,,,,,64.9938,65.8927,j,1,0.8651,,0,1,1,33,1,filler_純台語詞,,,蠻皮,,
,,,,,978505,女,32,B1,2026-05-01_02h37.50.620,ldt,2025.1.1,MacIntel,60.97560976,IwY2xjawRggKJleHRuA2FlbQIxMABicmlkETE5eWtGTkdkSTRJOEtvekpwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHnNYA-FScQb2DM-3mq8rCR4Zy_F7C8TZ4D0MQdyJuvt7sJA5-nEd9Ds-x8bZ_aem_CGnfYYvzxiDl47hrh59FIA,,,,,,65.8928,66.393,,,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,66.3937,67.0263,j,1,0.6088,,0,2,2,16,1,實驗材料,懸,低,收聽,,
