hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,99.0234,99.522,,,,,,,,,,,kuè--lâi,1,j,w8.png,,,,,,99.5226,100.2616,j,1,0.6965,,0,33,33,7,1,實驗材料,懸,懸,過來,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,100.2622,100.7552,,,,,,,,,,,,0,f,w53.png,,,,,,100.7555,101.5055,f,1,0.6903,,0,34,34,42,1,filler_假詞,,,水空,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,101.5057,102.0047,,,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,102.0049,103.0884,f,0,1.0351,,0,35,35,11,1,實驗材料,低,低,拖吊,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,103.0887,103.5879,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,103.5882,104.7884,j,1,1.1563,,0,36,36,30,1,實驗材料,低,懸,支付,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,104.7887,105.2879,,,,,,,,,,,su-iàu,1,j,w4.png,,,,,,105.288,106.0547,j,1,0.7146,,0,37,37,3,1,實驗材料,懸,懸,需要,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,106.055,106.5614,,,,,,,,,,,,0,f,w54.png,,,,,,106.5622,107.255,f,1,0.6547,,0,38,38,43,1,filler_假詞,,,狗人,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,107.2554,107.7542,,,,,,,,,,,,0,f,w67.png,,,,,,107.7545,108.6379,f,1,0.8219,,0,39,39,56,1,filler_假詞,,,出措,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,108.6386,109.1375,,,,,,,,,,,,0,f,w73.png,,,,,,109.1378,111.4535,f,1,2.2581,,0,40,40,62,1,filler_假詞,,,腹伏,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,111.4538,111.9536,,,,,,,,,,,,0,f,w85.png,,,,,,111.9539,112.77,f,1,0.7661,,0,41,41,74,1,filler_假詞,,,素鼠,,
,,,,,Chonghun,男,26,C2,2026-04-30_22h52.07.866,ldt,2025.1.1,Win32,61.72839506,IwY2xjawRgS6pleHRuA2FlbQIxMABicmlkETEzRE9naEpVdXF6alZEYzc2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuRlYLXPY5t9Ffb_DIrTGxTGtW5Il941t2DbEHpwMOjHJ1GW0vs6EsRrCxRy_aem_sCdHlGDpZZzJPM7kommpgw,,,,,,112.7703,113.2702,,,,,,,,,,,,0,f,w61.png,,,,,,113.2706,114.0204,f,1,0.7073,,0,42,42,50,1,filler_假詞,,,呆膽,,
