hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,55.8942,56.3941,,,,,,,,,,,,0,f,w66.png,,,,,,56.3947,58.6432,j,0,2.2233,,0,3,3,55,1,filler_假詞,,,冒張
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,58.6436,59.1442,,,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,59.1448,61.8774,f,0,2.6998,,0,4,4,29,1,實驗材料,低,懸,學會
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,61.8778,62.3774,,,,,,,,,,,,0,f,w67.png,,,,,,62.3778,63.8107,j,0,1.4003,,0,5,5,56,1,filler_假詞,,,出措
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,63.8113,64.3104,,,,,,,,,,,hôo-sîn,1,j,w47.png,,,,,,64.3108,67.1598,f,0,2.8173,,0,6,6,38,1,filler_純台語詞,,,胡蠅
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,67.1604,67.6605,,,,,,,,,,,bú-gí/bú-gú,1,j,w23.png,,,,,,67.6609,68.7106,j,1,1.0205,,0,7,7,18,1,實驗材料,懸,低,母語
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,68.7111,69.2107,,,,,,,,,,,siu-thiann,1,j,w21.png,,,,,,69.2113,71.2605,j,1,2.025,,0,8,8,16,1,實驗材料,懸,低,收聽
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,71.2608,71.7607,,,,,,,,,,,,0,f,w54.png,,,,,,71.7611,73.3096,f,1,1.5253,,0,9,9,43,1,filler_假詞,,,狗人
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,73.31,73.8097,,,,,,,,,,,,0,f,w74.png,,,,,,73.81,75.6774,f,1,1.8503,,0,10,10,63,1,filler_假詞,,,動夜
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,75.678,76.1774,,,,,,,,,,,huâinn-ti̍t/huînn-ti̍t,1,j,w48.png,,,,,,76.1778,77.2269,j,1,1.0166,,0,11,11,39,1,filler_純台語詞,,,橫直
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,77.2274,77.7266,,,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,77.727,81.1441,j,1,3.3863,,0,12,12,11,1,實驗材料,低,低,拖吊
