hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,106.46,106.9603,,,,,,,,,,,tsâi-bū,1,j,w35.png,,,,,,106.9609,107.9771,j,1,0.9863,,0,23,23,28,1,實驗材料,低,懸,財務
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,107.9776,108.4773,,,,,,,,,,,guân-lâi,1,j,w5.png,,,,,,108.4778,111.0605,j,1,2.5587,,0,24,24,4,1,實驗材料,懸,懸,原來
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,111.0609,111.5606,,,,,,,,,,,,0,f,w65.png,,,,,,111.561,112.6775,f,1,1.0931,,0,25,25,54,1,filler_假詞,,,分然
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,112.6779,113.1771,,,,,,,,,,,,0,f,w71.png,,,,,,113.1776,114.4771,f,1,1.2751,,0,26,26,60,1,filler_假詞,,,力巧
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,114.4775,114.9773,,,,,,,,,,,,0,f,w57.png,,,,,,114.9776,116.5439,f,1,1.533,,0,27,27,46,1,filler_假詞,,,老失
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,116.5442,117.0438,,,,,,,,,,,tsí-sòo,1,j,w31.png,,,,,,117.0443,118.0438,j,1,0.9668,,0,28,28,24,1,實驗材料,低,懸,指數
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,118.0443,118.5438,,,,,,,,,,,,0,f,w53.png,,,,,,118.5444,120.9772,f,1,2.406,,0,29,29,42,1,filler_假詞,,,水空
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,120.9777,121.4772,,,,,,,,,,,,0,f,w59.png,,,,,,121.4776,123.6936,f,1,2.1823,,0,30,30,48,1,filler_假詞,,,貓快
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,123.6941,124.1938,,,,,,,,,,,,0,f,w75.png,,,,,,124.1942,125.6605,f,1,1.4361,,0,31,31,64,1,filler_假詞,,,野吉
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,125.6608,126.1606,,,,,,,,,,,liáu-kái,1,j,w7.png,,,,,,126.161,126.8271,j,1,0.6371,,0,32,32,6,1,實驗材料,懸,懸,了解
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,126.8275,127.3272,,,,,,,,,,,,0,f,w62.png,,,,,,127.3277,131.1772,f,1,3.8158,,0,33,33,51,1,filler_假詞,,,慌沉
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,131.1777,131.6771,,,,,,,,,,,,0,f,w84.png,,,,,,131.6776,132.8439,f,1,1.1336,,0,34,34,73,1,filler_假詞,,,川角
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,132.8443,133.3439,,,,,,,,,,,,0,f,w55.png,,,,,,133.3444,134.7605,f,1,1.393,,0,35,35,44,1,filler_假詞,,,苦碗
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,134.7609,135.2605,,,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,135.261,135.9105,j,1,0.6168,,0,36,36,5,1,實驗材料,懸,懸,出去
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,135.9109,136.4105,,,,,,,,,,,,0,f,w52.png,,,,,,136.4109,138.9605,f,1,2.5159,,0,37,37,41,1,filler_假詞,,,頭舌
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,138.9609,139.4606,,,,,,,,,,,tē-miâ/tuē-miâ,1,j,w25.png,,,,,,139.4611,140.3938,j,1,0.9005,,0,38,38,20,1,實驗材料,懸,低,地名
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,140.3943,140.8938,,,,,,,,,,,,0,f,w88.png,,,,,,140.8943,142.2437,f,1,1.3243,,0,39,39,77,1,filler_假詞,,,了物
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,142.244,142.7438,,,,,,,,,,,,0,f,w83.png,,,,,,142.7442,145.2104,j,0,2.4366,,0,40,40,72,1,filler_假詞,,,流棲
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,145.2108,145.7104,,,,,,,,,,,,0,f,w77.png,,,,,,145.7109,147.027,f,1,1.2912,,0,41,41,66,1,filler_假詞,,,土悲
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,147.0274,147.5271,,,,,,,,,,,,0,f,w64.png,,,,,,147.5275,148.5938,f,1,1.0335,,0,42,42,53,1,filler_假詞,,,莖白
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,148.5943,149.0938,,,,,,,,,,,tsi-hù,1,j,w37.png,,,,,,149.0943,149.7605,j,1,0.6333,,0,43,43,30,1,實驗材料,低,懸,支付
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,149.761,150.2604,,,,,,,,,,,,0,f,w86.png,,,,,,150.2609,152.2438,j,0,1.9508,,0,44,44,75,1,filler_假詞,,,涼層
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,152.2442,152.7438,,,,,,,,,,,jiá-hō/liá-hō,1,j,w11.png,,,,,,152.7443,154.5438,f,0,1.7665,,0,45,45,8,1,實驗材料,低,低,惹禍
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,154.5443,155.0438,,,,,,,,,,,su-iàu,1,j,w4.png,,,,,,155.0443,156.976,j,1,1.8997,,0,46,46,3,1,實驗材料,懸,懸,需要
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,156.9764,157.4771,,,,,,,,,,,,0,f,w89.png,,,,,,157.4776,158.7603,f,1,1.2556,,0,47,47,78,1,filler_假詞,,,義活
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,158.7607,159.2604,,,,,,,,,,,,0,f,w90.png,,,,,,159.2608,160.3604,j,0,1.0711,,0,48,48,79,1,filler_假詞,,,失務
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,160.3608,160.8604,,,,,,,,,,,,0,f,w63.png,,,,,,160.8609,162.277,f,1,1.3828,,0,49,49,52,1,filler_假詞,,,語情
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,162.2773,162.777,,,,,,,,,,,hâng-ūn,1,j,w17.png,,,,,,162.7775,166.3271,j,1,3.5161,,0,50,50,14,1,實驗材料,低,低,航運
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,166.3277,166.8271,,,,,,,,,,,,0,f,w70.png,,,,,,166.8275,168.5937,f,1,1.7428,,0,51,51,59,1,filler_假詞,,,年指
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,168.5942,169.0937,,,,,,,,,,,uî-pio,1,j,w13.png,,,,,,169.0941,170.2103,f,0,1.0861,,0,52,52,10,1,實驗材料,低,低,圍標
,,,,,236664,女,29,B2,2026-05-01_16h25.41.108,ldt,2025.1.1,MacIntel,60.24096386,IwY2xjawRhQqlleHRuA2FlbQIxMABicmlkETF0THdMVDREY1RDS0EyTjBUc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrcw2FJFqsr6CMjW14i362uh7C2VOR4eiTXJ-5NA41xuP0S18g_YNKink_jF_aem_0R-ZBkHGViiOgnwDRhFHgQ,,,,,,170.2107,170.7095,,,,,,,,,,,tsú-kàu,1,j,w24.png,,,,,,170.7099,176.3534,,0,,,0,53,53,19,1,實驗材料,懸,低,主教
