hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.0003,30.1941,space,30.1607,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,30.1945,32.1593,space,1.9387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,32.1648,32.6592,32.66,34.5414,f,1.8432,,0,0,0,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,34.5418,35.0411,35.0413,37.2567,j,2.167,,0,1,1,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,37.2572,37.7565,37.757,38.7229,j,0.9301,,0,2,2,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,38.7232,39.2226,39.2229,43.9037,j,4.6427,,0,3,3,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,43.904,47.3351,space,3.4052,,,,,,,,,,,,,,,,,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,47.3398,47.835,,,,,,,,,,,,0,f,w64.png,,,,,,47.8356,49.168,j,0,1.293,,0,0,0,53,1,filler_假詞,,,莖白,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,49.1687,49.6675,,,,,,,,,,,,0,f,w71.png,,,,,,49.6676,51.9828,f,1,2.2667,,0,1,1,60,1,filler_假詞,,,力巧,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,51.983,52.4828,,,,,,,,,,,su-iàu,1,j,w4.png,,,,,,52.483,53.5656,j,1,1.0519,,0,2,2,3,1,實驗材料,懸,懸,需要,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,53.566,54.0654,,,,,,,,,,,,0,f,w89.png,,,,,,54.0659,55.9809,f,1,1.8716,,0,3,3,78,1,filler_假詞,,,義活,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,55.9811,56.4808,,,,,,,,,,,hām-bîn,1,j,w44.png,,,,,,56.4811,57.6137,j,1,1.0962,,0,4,4,35,1,filler_純台語詞,,,陷眠,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,57.6139,58.1135,,,,,,,,,,,,0,f,w61.png,,,,,,58.1137,59.6963,j,0,1.5464,,0,5,5,50,1,filler_假詞,,,呆膽,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,59.6967,60.1955,,,,,,,,,,,tē-miâ/tuē-miâ,1,j,w25.png,,,,,,60.196,61.4285,j,1,1.1857,,0,6,6,20,1,實驗材料,懸,低,地名,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,61.4288,61.9285,,,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,61.929,64.3272,j,1,2.3594,,0,7,7,17,1,實驗材料,懸,低,放射,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,64.3274,64.8266,,,,,,,,,,,kíng-tsìng,1,j,w16.png,,,,,,64.8271,66.909,j,1,2.0254,,0,8,8,13,1,實驗材料,低,低,警政,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,66.9094,67.409,,,,,,,,,,,,0,f,w76.png,,,,,,67.4092,69.6742,f,1,2.2294,,0,9,9,65,1,filler_假詞,,,製般,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,69.6745,70.1744,,,,,,,,,,,tsí-sòo,1,j,w31.png,,,,,,70.1747,73.6726,f,0,3.4606,,0,10,10,24,1,實驗材料,低,懸,指數,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,73.6729,74.1724,,,,,,,,,,,,0,f,w55.png,,,,,,74.1728,76.3546,f,1,2.1459,,0,11,11,44,1,filler_假詞,,,苦碗,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,76.355,76.8544,,,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,76.8548,77.8541,j,1,0.9618,,0,12,12,21,1,實驗材料,懸,低,救命,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,77.8544,78.3537,,,,,,,,,,,,0,f,w77.png,,,,,,78.3541,79.9027,f,1,1.5173,,0,13,13,66,1,filler_假詞,,,土悲,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,79.903,80.4026,,,,,,,,,,,khai-sí,1,j,w2.png,,,,,,80.403,82.0016,j,1,1.5646,,0,14,14,1,1,實驗材料,懸,懸,開始,,
,,,,,643083,2,33,B2,2026-04-30_16h43.12.077,ldt,2025.1.1,Win32,60.60606061,,,,,,82.0019,82.5017,,,,,,,,,,,,0,f,w78.png,,,,,,82.502,83.4679,j,0,0.9459,,0,15,15,67,1,filler_假詞,,,假闊,,
