hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0,1.745,space,1.707,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,1.746,4.644,space,2.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,4.649,5.139,5.139,7.744,f,2.553,,0,0,0,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,7.745,8.24,8.241,9.39,f,1.078,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,9.39,9.876,9.877,11.023,f,1.078,,0,2,2,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,11.024,11.539,11.54,12.259,j,0.682,,0,3,3,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,12.259,13.027,space,0.746,,,,,,,,,,,,,,,,,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,13.033,13.529,,,,,,,,,,,uî-pio,1,j,w13.png,,,,,,13.53,14.392,j,1,0.799,,0,0,0,10,1,實驗材料,低,低,圍標,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,14.393,14.875,,,,,,,,,,,,0,f,w63.png,,,,,,14.876,16.572,f,1,1.626,,0,1,1,52,1,filler_假詞,,,語情,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,16.573,17.06,,,,,,,,,,,tsú-kàu,1,j,w24.png,,,,,,17.06,18.074,j,1,0.935,,0,2,2,19,1,實驗材料,懸,低,主教,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,18.075,18.574,,,,,,,,,,,kî-bōng,1,j,w38.png,,,,,,18.574,19.223,j,1,0.604,,0,3,3,31,1,實驗材料,低,懸,期望,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,19.223,19.707,,,,,,,,,,,,0,f,w72.png,,,,,,19.707,20.93,f,1,1.163,,0,4,4,61,1,filler_假詞,,,家覺,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,20.93,21.439,,,,,,,,,,,kiù-miā,1,j,w26.png,,,,,,21.439,22.087,j,1,0.605,,0,5,5,21,1,實驗材料,懸,低,救命,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,22.087,22.588,,,,,,,,,,,,0,f,w88.png,,,,,,22.588,24.656,j,0,2.019,,0,6,6,77,1,filler_假詞,,,了物,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,24.657,25.141,,,,,,,,,,,,0,f,w86.png,,,,,,25.141,26.206,f,1,0.972,,0,7,7,75,1,filler_假詞,,,涼層,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,26.207,26.688,,,,,,,,,,,khai-sí,1,j,w2.png,,,,,,26.689,28.225,j,1,1.459,,0,8,8,1,1,實驗材料,懸,懸,開始,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,28.227,28.743,,,,,,,,,,,,0,f,w77.png,,,,,,28.743,29.591,f,1,0.803,,0,9,9,66,1,filler_假詞,,,土悲,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,29.591,30.088,,,,,,,,,,,hòng-siā,1,j,w22.png,,,,,,30.088,32.474,j,1,2.318,,0,10,10,17,1,實驗材料,懸,低,放射,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,32.474,32.975,,,,,,,,,,,būn-tê/būn-tuê,1,j,w3.png,,,,,,32.975,33.672,j,1,0.644,,0,11,11,2,1,實驗材料,懸,懸,問題,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,33.673,34.172,,,,,,,,,,,khòng-sòo,1,j,w18.png,,,,,,34.172,35.057,j,1,0.831,,0,12,12,15,1,實驗材料,低,低,控訴,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,35.058,35.556,,,,,,,,,,,hāu-senn/hāu-sinn,1,j,w45.png,,,,,,35.556,36.406,j,1,0.779,,0,13,13,36,1,filler_純台語詞,,,後生,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,36.407,36.892,,,,,,,,,,,thua-tiàu,1,j,w14.png,,,,,,36.892,39.323,j,1,2.354,,0,14,14,11,1,實驗材料,低,低,拖吊,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,39.323,39.822,,,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,39.823,41.638,j,1,1.763,,0,15,15,29,1,實驗材料,低,懸,學會,,
,,,,,558582,男,33,0,2026-05-01_18h44.56.450,ldt,2025.1.1,Win32,60.0240096,,,,,,41.638,42.137,,,,,,,,,,,,0,f,w81.png,,,,,,42.138,47.122,,0,,,0,16,16,70,1,filler_假詞,,,部斑,,
