hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,fbclid,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0,31.35,space,31.33,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,31.35,31.933,space,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,31.936,32.434,32.434,36.237,j,3.766,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,36.238,36.738,36.738,41.726,,,,0,1,1,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,41.727,42.226,42.227,44.428,f,2.149,,0,2,2,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,44.428,44.929,44.929,47.164,f,2.197,,0,3,3,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,,,,,,,,,,,,,,,,,47.165,49.05,space,1.866,,,,,,,,,,,,,,,,,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,49.056,49.551,,,,,,,,,,,,0,f,w82.png,,,,,,49.551,51.92,f,1,2.328,,0,0,0,71,1,filler_假詞,,,食轉,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,51.92,52.42,,,,,,,,,,,,0,f,w89.png,,,,,,52.42,53.505,f,1,1.046,,0,1,1,78,1,filler_假詞,,,義活,,
,,,,,616522,男,41,C1,2026-05-02_11h28.19.595,ldt,2025.1.1,Win32,58.96226415,IwY2xjawRiTnxleHRuA2FlbQIxMABicmlkETFZMnVXY2g5QlkwSm9hYVpjc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHrYoXzZi0SRoJCO_Oritjri0xdOA_lkuIqISlNz0pYGunQAjf9aqPr6REfaJ_aem_QWq-5gyxR12npgA1WnNvNw,,,,,,53.505,54.005,,,,,,,,,,,ha̍k-huē,1,j,w36.png,,,,,,54.005,56.891,j,1,2.845,,0,2,2,29,1,實驗材料,低,懸,學會,,
