hellorotuine.started,hellorotuine.stopped,hellokey.keys,hellokey.rt,hellokey.duration,participant,性別,年齡,台語檢定成績,date,expName,psychopyVersion,OS,frameRate,instructionroutine.started,instructionroutine.stopped,intructionkeyboard.keys,intructionkeyboard.rt,intructionkeyboard.duration,fixation.started,fixation.stopped,practiceroutine.started,practiceroutine.stopped,practrial.keys,practrial.rt,practrial.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,臺羅,isword,response,ifile,pracroutine.started,pracroutine.stopped,prackey.keys,prackey.rt,prackey.duration,trialroutine.started,trialroutine.stopped,trialkeyboard.keys,trialkeyboard.corr,trialkeyboard.rt,trialkeyboard.duration,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,trialloop.ran,分組,台語詞頻分組,華語詞頻分組,漢字,thanksroutine.started,thanksroutine.stopped
0.001,12.6486,space,12.6188,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,12.6492,23.2332,space,10.5587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,23.2395,23.7327,23.7336,24.5367,j,0.7265,,0,0,0,2,1,__,1,j,w49.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,24.5377,25.0328,25.0334,25.9306,f,0.8305,,0,1,1,1,1,__,0,f,w92.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,25.9312,26.4229,26.4235,27.3427,f,0.8568,,0,2,2,3,1,__,0,f,w97.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,27.3438,27.8424,27.8429,28.5214,j,0.6273,,0,3,3,0,1,__,1,j,w40.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,,,,,,,,,,,,,,,,,28.522,31.3946,space,2.8498,,,,,,,,,,,,,,,,,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,31.4073,31.8917,,,,,,,,,,,tshut-khì,1,j,w6.png,,,,,,31.8926,32.6055,j,1,0.6447,,0,0,0,5,1,實驗材料,懸,懸,出去,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,32.6062,33.1078,,,,,,,,,,,í-king,1,j,w1.png,,,,,,33.1085,34.1042,f,0,0.9445,,0,1,1,0,1,實驗材料,懸,懸,已經,,
,,,,,770248,女,23,教育部B1,2026-04-30_23h11.04.462,ldt,2025.1.1,Win32,149.2537313,,,,,,34.105,34.6025,,,,,,,,,,,,0,f,w78.png,,,,,,34.603,35.5641,j,0,0.9363,,0,2,2,67,1,filler_假詞,,,假闊,,
